bac_bin,tests
0.0,43294
0.001,6446
0.002,1984
0.003,824
0.004,541
0.005,470
0.006,391
0.007,407
0.008,394
0.009,430
0.01,426
0.011,434
0.012,388
0.013,480
0.014,434
0.015,456
0.016,425
0.017,479
0.018,482
0.019,516
0.02,538
0.021,551
0.022,623
0.023,556
0.024,588
0.025,608
0.026,591
0.027,628
0.028,621
0.029,634
0.03,675
0.031,701
0.032,702
0.033,675
0.034,718
0.035,721
0.036,715
0.037,762
0.038,804
0.039,782
0.04,853
0.041,801
0.042,864
0.043,901
0.044,935
0.045,905
0.046,909
0.047,1057
0.048,1038
0.049,1033
0.05,1058
0.051,1163
0.052,1184
0.053,1233
0.054,1190
0.055,1318
0.056,1398
0.057,1448
0.058,1408
0.059,1571
0.06,1666
0.061,1801
0.062,1770
0.063,1976
0.064,2066
0.065,2043
0.066,2274
0.067,2155
0.068,2403
0.069,2484
0.07,2709
0.071,2487
0.072,2811
0.073,2854
0.074,2973
0.075,2929
0.076,3216
0.077,3182
0.078,3372
0.079,3246
0.08,3468
0.081,3469
0.082,3708
0.083,3595
0.084,3683
0.085,3846
0.086,3928
0.087,4052
0.088,3774
0.089,4115
0.09,4273
0.091,4172
0.092,3990
0.093,4419
0.094,4314
0.095,4453
0.096,4293
0.097,4486
0.098,4621
0.099,4614
0.1,4467
0.101,4695
0.102,4666
0.103,4900
0.104,4552
0.105,4740
0.106,4910
0.107,4760
0.108,4985
0.109,4764
0.11,4885
0.111,5015
0.112,5110
0.113,4957
0.114,4949
0.115,5047
0.116,5004
0.117,4921
0.118,5186
0.119,5359
0.12,5164
0.121,4867
0.122,5234
0.123,5252
0.124,5276
0.125,5127
0.126,5298
0.127,5193
0.128,5367
0.129,5251
0.13,5118
0.131,5262
0.132,5273
0.133,5384
0.134,5077
0.135,5501
0.136,5397
0.137,5302
0.138,5180
0.139,5239
0.14,5366
0.141,5247
0.142,4986
0.143,5337
0.144,5301
0.145,5149
0.146,5010
0.147,5257
0.148,5364
0.149,5255
0.15,5214
0.151,4810
0.152,5251
0.153,5015
0.154,5079
0.155,4725
0.156,5012
0.157,4872
0.158,5090
0.159,4634
0.16,4882
0.161,4825
0.162,4858
0.163,4547
0.164,4602
0.165,4655
0.166,4524
0.167,4300
0.168,4563
0.169,4398
0.17,4543
0.171,4270
0.172,4099
0.173,4160
0.174,4184
0.175,4108
0.176,3866
0.177,3969
0.178,4005
0.179,3979
0.18,3744
0.181,3632
0.182,3731
0.183,3805
0.184,3410
0.185,3624
0.186,3464
0.187,3430
0.188,3249
0.189,3303
0.19,3303
0.191,3198
0.192,3082
0.193,3029
0.194,3061
0.195,3063
0.196,2856
0.197,2825
0.198,2859
0.199,2839
0.2,2649
0.201,2589
0.202,2520
0.203,2477
0.204,2464
0.205,2316
0.206,2317
0.207,2335
0.208,2299
0.209,2172
0.21,2174
0.211,2102
0.212,2098
0.213,2097
0.214,1956
0.215,1941
0.216,1926
0.217,1862
0.218,1784
0.219,1762
0.22,1814
0.221,1715
0.222,1533
0.223,1568
0.224,1613
0.225,1605
0.226,1352
0.227,1400
0.228,1449
0.229,1343
0.23,1240
0.231,1310
0.232,1287
0.233,1271
0.234,1179
0.235,1141
0.236,1200
0.237,1153
0.238,1076
0.239,1037
0.24,1050
0.241,979
0.242,943
0.243,945
0.244,1006
0.245,927
0.246,898
0.247,788
0.248,856
0.249,825
0.25,818
0.251,749
0.252,775
0.253,753
0.254,681
0.255,739
0.256,597
0.257,695
0.258,687
0.259,615
0.26,562
0.261,630
0.262,613
0.263,550
0.264,498
0.265,558
0.266,510
0.267,509
0.268,454
0.269,462
0.27,461
0.271,475
0.272,398
0.273,431
0.274,388
0.275,390
0.276,409
0.277,323
0.278,406
0.279,360
0.28,374
0.281,331
0.282,319
0.283,328
0.284,325
0.285,315
0.286,302
0.287,274
0.288,293
0.289,248
0.29,282
0.291,268
0.292,288
0.293,252
0.294,259
0.295,227
0.296,235
0.297,223
0.298,225
0.299,202
0.3,229
