bac,tests_with_zero,tests_without_zero
0.0,10440,0
0.001,1557,1557
0.002,718,718
0.003,442,442
0.004,341,341
0.005,321,321
0.006,293,293
0.007,310,310
0.008,292,292
0.009,343,343
0.01,328,328
0.011,334,334
0.012,280,280
0.013,363,363
0.014,318,318
0.015,351,351
0.016,331,331
0.017,361,361
0.018,360,360
0.019,380,380
0.02,408,408
0.021,422,422
0.022,492,492
0.023,445,445
0.024,475,475
0.025,479,479
0.026,458,458
0.027,514,514
0.028,476,476
0.029,494,494
0.03,539,539
0.031,577,577
0.032,549,549
0.033,529,529
0.034,577,577
0.035,598,598
0.036,584,584
0.037,629,629
0.038,637,637
0.039,643,643
0.04,694,694
0.041,656,656
0.042,733,733
0.043,736,736
0.044,761,761
0.045,777,777
0.046,742,742
0.047,891,891
0.048,882,882
0.049,870,870
0.05,914,914
0.051,998,998
0.052,1017,1017
0.053,1067,1067
0.054,1017,1017
0.055,1172,1172
0.056,1212,1212
0.057,1273,1273
0.058,1246,1246
0.059,1406,1406
0.06,1508,1508
0.061,1604,1604
0.062,1588,1588
0.063,1800,1800
0.064,1858,1858
0.065,1836,1836
0.066,2082,2082
0.067,1946,1946
0.068,2183,2183
0.069,2303,2303
0.07,2509,2509
0.071,2321,2321
0.072,2599,2599
0.073,2631,2631
0.074,2761,2761
0.075,2741,2741
0.076,2963,2963
0.077,2996,2996
0.078,3145,3145
0.079,3052,3052
0.08,3225,3225
0.081,3256,3256
0.082,3481,3481
0.083,3358,3358
0.084,3442,3442
0.085,3607,3607
0.086,3673,3673
0.087,3811,3811
0.088,3540,3540
0.089,3892,3892
0.09,4034,4034
0.091,3931,3931
0.092,3779,3779
0.093,4162,4162
0.094,4063,4063
0.095,4214,4214
0.096,4083,4083
0.097,4224,4224
0.098,4382,4382
0.099,4347,4347
0.1,4224,4224
0.101,4440,4440
0.102,4389,4389
0.103,4609,4609
0.104,4332,4332
0.105,4483,4483
0.106,4615,4615
0.107,4506,4506
0.108,4732,4732
0.109,4504,4504
0.11,4601,4601
0.111,4750,4750
0.112,4845,4845
0.113,4689,4689
0.114,4693,4693
0.115,4775,4775
0.116,4756,4756
0.117,4671,4671
0.118,4890,4890
0.119,5053,5053
0.12,4911,4911
0.121,4613,4613
0.122,4959,4959
0.123,4993,4993
0.124,5020,5020
0.125,4892,4892
0.126,4979,4979
0.127,4933,4933
0.128,5094,5094
0.129,4948,4948
0.13,4885,4885
0.131,4990,4990
0.132,5023,5023
0.133,5120,5120
0.134,4816,4816
0.135,5204,5204
0.136,5127,5127
0.137,5030,5030
0.138,4892,4892
0.139,4976,4976
0.14,5069,5069
0.141,4977,4977
0.142,4740,4740
0.143,5080,5080
0.144,5044,5044
0.145,4900,4900
0.146,4775,4775
0.147,4996,4996
0.148,5050,5050
0.149,4993,4993
0.15,4954,4954
0.151,4577,4577
0.152,4983,4983
0.153,4742,4742
0.154,4842,4842
0.155,4473,4473
0.156,4774,4774
0.157,4643,4643
0.158,4803,4803
0.159,4414,4414
0.16,4601,4601
0.161,4590,4590
0.162,4625,4625
0.163,4344,4344
0.164,4371,4371
0.165,4403,4403
0.166,4291,4291
0.167,4057,4057
0.168,4337,4337
0.169,4154,4154
0.17,4309,4309
0.171,4071,4071
0.172,3908,3908
0.173,3934,3934
0.174,3962,3962
0.175,3884,3884
0.176,3658,3658
0.177,3764,3764
0.178,3811,3811
0.179,3783,3783
0.18,3539,3539
0.181,3452,3452
0.182,3550,3550
0.183,3608,3608
0.184,3262,3262
0.185,3420,3420
0.186,3278,3278
0.187,3276,3276
0.188,3079,3079
0.189,3133,3133
0.19,3114,3114
0.191,3026,3026
0.192,2929,2929
0.193,2869,2869
0.194,2892,2892
0.195,2898,2898
0.196,2722,2722
0.197,2691,2691
0.198,2706,2706
0.199,2685,2685
0.2,2490,2490
0.201,2442,2442
0.202,2392,2392
0.203,2322,2322
0.204,2339,2339
0.205,2200,2200
0.206,2176,2176
0.207,2212,2212
0.208,2186,2186
0.209,2054,2054
0.21,2052,2052
0.211,1995,1995
0.212,1975,1975
0.213,1980,1980
0.214,1852,1852
0.215,1810,1810
0.216,1818,1818
0.217,1759,1759
0.218,1686,1686
0.219,1656,1656
0.22,1705,1705
0.221,1592,1592
0.222,1430,1430
0.223,1467,1467
0.224,1509,1509
0.225,1495,1495
0.226,1281,1281
0.227,1311,1311
0.228,1360,1360
0.229,1229,1229
0.23,1178,1178
0.231,1233,1233
0.232,1210,1210
0.233,1185,1185
0.234,1109,1109
0.235,1063,1063
0.236,1120,1120
0.237,1090,1090
0.238,1018,1018
0.239,979,979
0.24,971,971
0.241,916,916
0.242,891,891
0.243,879,879
0.244,939,939
0.245,856,856
0.246,841,841
0.247,729,729
0.248,806,806
0.249,776,776
0.25,759,759
0.251,699,699
0.252,723,723
0.253,705,705
0.254,644,644
0.255,678,678
0.256,553,553
0.257,651,651
0.258,641,641
0.259,566,566
0.26,525,525
0.261,589,589
0.262,556,556
0.263,511,511
0.264,468,468
0.265,501,501
0.266,468,468
0.267,468,468
0.268,428,428
0.269,432,432
0.27,436,436
0.271,440,440
0.272,374,374
0.273,395,395
0.274,361,361
0.275,362,362
0.276,384,384
0.277,293,293
0.278,372,372
0.279,321,321
0.28,344,344
0.281,309,309
0.282,288,288
0.283,297,297
0.284,300,300
0.285,289,289
0.286,279,279
0.287,248,248
0.288,269,269
0.289,230,230
0.29,263,263
0.291,240,240
0.292,269,269
0.293,238,238
0.294,237,237
0.295,216,216
0.296,218,218
0.297,209,209
0.298,201,201
0.299,186,186
0.3,201,201
0.301,199,199
0.302,180,180
0.303,209,209
0.304,172,172
0.305,154,154
0.306,186,186
0.307,162,162
0.308,156,156
0.309,130,130
0.31,143,143
0.311,149,149
0.312,135,135
0.313,122,122
0.314,117,117
0.315,127,127
0.316,106,106
0.317,116,116
0.318,103,103
0.319,106,106
0.32,97,97
0.321,103,103
0.322,112,112
0.323,73,73
0.324,102,102
0.325,86,86
0.326,79,79
0.327,68,68
0.328,67,67
0.329,77,77
0.33,93,93
0.331,82,82
0.332,66,66
0.333,64,64
0.334,76,76
0.335,61,61
0.336,68,68
0.337,53,53
0.338,65,65
0.339,64,64
0.34,40,40
0.341,48,48
0.342,43,43
0.343,52,52
0.344,42,42
0.345,58,58
0.346,52,52
0.347,51,51
0.348,25,25
0.349,30,30
0.35,48,48
0.351,31,31
0.352,38,38
0.353,34,34
0.354,33,33
0.355,28,28
0.356,21,21
0.357,35,35
0.358,30,30
0.359,29,29
0.36,34,34
0.361,26,26
0.362,28,28
0.363,21,21
0.364,21,21
0.365,21,21
0.366,28,28
0.367,20,20
0.368,15,15
0.369,13,13
0.37,21,21
0.371,14,14
0.372,16,16
0.373,14,14
0.374,15,15
0.375,21,21
0.376,17,17
0.377,11,11
0.378,13,13
0.379,13,13
0.38,15,15
0.381,13,13
0.382,16,16
0.383,12,12
0.384,16,16
0.385,10,10
0.386,5,5
0.387,9,9
0.388,12,12
0.389,6,6
0.39,13,13
0.391,8,8
0.392,9,9
0.393,9,9
0.394,6,6
0.395,8,8
0.396,5,5
0.397,6,6
0.398,7,7
0.399,6,6
0.4,5,5
0.401,9,9
0.402,4,4
0.403,6,6
0.404,3,3
0.405,3,3
0.406,5,5
0.407,3,3
0.408,5,5
0.409,6,6
0.41,3,3
0.411,1,1
0.412,4,4
0.413,3,3
0.414,3,3
0.415,3,3
0.416,1,1
0.417,3,3
0.418,3,3
0.419,3,3
0.42,2,2
0.421,3,3
0.422,1,1
0.423,1,1
0.424,1,1
0.425,0,0
0.426,2,2
0.427,1,1
0.428,2,2
0.429,1,1
0.43,0,0
0.431,1,1
0.432,1,1
0.433,1,1
0.434,1,1
0.435,2,2
0.436,0,0
