threshold_bac,crime_code,bac,bac_relative_to_threshold,tests
0.02,1,0.01,-0.01,258
0.02,1,0.011,-0.009,265
0.02,1,0.012,-0.008,206
0.02,1,0.013,-0.007,277
0.02,1,0.014,-0.006,229
0.02,1,0.015,-0.005,264
0.02,1,0.016,-0.004,240
0.02,1,0.017,-0.003,263
0.02,1,0.018,-0.002,269
0.02,1,0.019,-0.001,278
0.02,1,0.02,0.0,306
0.02,1,0.021,0.001,304
0.02,1,0.022,0.002,365
0.02,1,0.023,0.003,322
0.02,1,0.024,0.004,360
0.02,1,0.025,0.005,348
0.02,1,0.026,0.006,339
0.02,1,0.027,0.007,383
0.02,1,0.028,0.008,343
0.02,1,0.029,0.009,362
0.02,1,0.03,0.01,424
0.02,3,0.01,-0.01,70
0.02,3,0.011,-0.009,69
0.02,3,0.012,-0.008,74
0.02,3,0.013,-0.007,86
0.02,3,0.014,-0.006,89
0.02,3,0.015,-0.005,87
0.02,3,0.016,-0.004,91
0.02,3,0.017,-0.003,98
0.02,3,0.018,-0.002,91
0.02,3,0.019,-0.001,102
0.02,3,0.02,0.0,102
0.02,3,0.021,0.001,118
0.02,3,0.022,0.002,127
0.02,3,0.023,0.003,123
0.02,3,0.024,0.004,115
0.02,3,0.025,0.005,131
0.02,3,0.026,0.006,119
0.02,3,0.027,0.007,131
0.02,3,0.028,0.008,133
0.02,3,0.029,0.009,132
0.02,3,0.03,0.01,115
0.08,1,0.07,-0.01,2405
0.08,1,0.071,-0.009,2220
0.08,1,0.072,-0.008,2498
0.08,1,0.073,-0.007,2536
0.08,1,0.074,-0.006,2673
0.08,1,0.075,-0.005,2641
0.08,1,0.076,-0.004,2874
0.08,1,0.077,-0.003,2909
0.08,1,0.078,-0.002,3047
0.08,1,0.079,-0.001,2955
0.08,1,0.08,0.0,3136
0.08,1,0.081,0.001,3159
0.08,1,0.082,0.002,3378
0.08,1,0.083,0.003,3286
0.08,1,0.084,0.004,3354
0.08,1,0.085,0.005,3539
0.08,1,0.086,0.006,3602
0.08,1,0.087,0.007,3734
0.08,1,0.088,0.008,3449
0.08,1,0.089,0.009,3832
0.08,1,0.09,0.01,3940
0.08,3,0.07,-0.01,104
0.08,3,0.071,-0.009,101
0.08,3,0.072,-0.008,101
0.08,3,0.073,-0.007,95
0.08,3,0.074,-0.006,88
0.08,3,0.075,-0.005,100
0.08,3,0.076,-0.004,89
0.08,3,0.077,-0.003,87
0.08,3,0.078,-0.002,98
0.08,3,0.079,-0.001,97
0.08,3,0.08,0.0,89
0.08,3,0.081,0.001,97
0.08,3,0.082,0.002,103
0.08,3,0.083,0.003,72
0.08,3,0.084,0.004,88
0.08,3,0.085,0.005,68
0.08,3,0.086,0.006,71
0.08,3,0.087,0.007,77
0.08,3,0.088,0.008,91
0.08,3,0.089,0.009,60
0.08,3,0.09,0.01,94
0.15,1,0.14,-0.01,5013
0.15,1,0.141,-0.009,4923
0.15,1,0.142,-0.008,4690
0.15,1,0.143,-0.007,5025
0.15,1,0.144,-0.006,4984
0.15,1,0.145,-0.005,4844
0.15,1,0.146,-0.004,4727
0.15,1,0.147,-0.003,4952
0.15,1,0.148,-0.002,4996
0.15,1,0.149,-0.001,4946
0.15,1,0.15,0.0,4918
0.15,1,0.151,0.001,4530
0.15,1,0.152,0.002,4944
0.15,1,0.153,0.003,4690
0.15,1,0.154,0.004,4796
0.15,1,0.155,0.005,4430
0.15,1,0.156,0.006,4727
0.15,1,0.157,0.007,4605
0.15,1,0.158,0.008,4768
0.15,1,0.159,0.009,4385
0.15,1,0.16,0.01,4575
0.15,3,0.14,-0.01,56
0.15,3,0.141,-0.009,54
0.15,3,0.142,-0.008,50
0.15,3,0.143,-0.007,55
0.15,3,0.144,-0.006,60
0.15,3,0.145,-0.005,56
0.15,3,0.146,-0.004,48
0.15,3,0.147,-0.003,44
0.15,3,0.148,-0.002,54
0.15,3,0.149,-0.001,47
0.15,3,0.15,0.0,36
0.15,3,0.151,0.001,47
0.15,3,0.152,0.002,39
0.15,3,0.153,0.003,52
0.15,3,0.154,0.004,46
0.15,3,0.155,0.005,43
0.15,3,0.156,0.006,47
0.15,3,0.157,0.007,38
0.15,3,0.158,0.008,35
0.15,3,0.159,0.009,29
0.15,3,0.16,0.01,26
