source_extract,source,year,rows
2019_archive,datamaster,1995,666
2019_archive,datamaster,1996,13554
2019_archive,datamaster,1997,28263
2019_archive,datamaster,1998,42432
2019_archive,datamaster,1999,43423
2019_archive,datamaster,2000,42707
2019_archive,datamaster,2001,41104
2019_archive,datamaster,2002,46214
2019_archive,datamaster,2003,47944
2019_archive,datamaster,2004,46729
2019_archive,datamaster,2005,43337
2019_archive,datamaster,2006,43039
2019_archive,datamaster,2007,43936
2019_archive,datamaster,2008,40768
2019_archive,datamaster,2009,42615
2019_archive,datamaster,2010,39791
2019_archive,datamaster,2011,39209
2019_archive,datamaster,2012,35781
2019_archive,datamaster,2013,32326
2019_archive,datamaster,2014,28941
2019_archive,datamaster,2015,19377
2019_archive,datamaster,2016,15467
2019_archive,datamaster,2017,13582
2019_archive,datamaster,2018,100
2019_archive,draeger,2013,4
2019_archive,draeger,2014,383
2019_archive,draeger,2015,7592
2019_archive,draeger,2016,8839
2019_archive,draeger,2017,12408
2019_archive,draeger,2018,40
2019_archive,draeger,2019,7
2026_drop,datamaster,2018,548
2026_drop,draeger,2018,26944
2026_drop,draeger,2019,26368
2026_drop,draeger,2020,19495
2026_drop,draeger,2021,18576
2026_drop,draeger,2022,19729
2026_drop,draeger,2023,20905
2026_drop,draeger,2024,22038
2026_drop,draeger,2025,23479
2026_drop,draeger,2026,9081
