bac_bin,n,recid_rate,population,cohort
0.03,233,0.12446351931330472,adult,1999_2008
0.032,237,0.14345991561181434,adult,1999_2008
0.034,260,0.09615384615384616,adult,1999_2008
0.036,260,0.1576923076923077,adult,1999_2008
0.038,284,0.15140845070422534,adult,1999_2008
0.04,298,0.18120805369127516,adult,1999_2008
0.042,358,0.13687150837988826,adult,1999_2008
0.044,381,0.14960629921259844,adult,1999_2008
0.046,417,0.15587529976019185,adult,1999_2008
0.048,457,0.15098468271334792,adult,1999_2008
0.05,517,0.11992263056092843,adult,1999_2008
0.052,586,0.14846416382252559,adult,1999_2008
0.054,637,0.13343799058084774,adult,1999_2008
0.056,723,0.14384508990318118,adult,1999_2008
0.058,847,0.14167650531286896,adult,1999_2008
0.06,976,0.14651639344262296,adult,1999_2008
0.062,1138,0.140597539543058,adult,1999_2008
0.064,1178,0.14091680814940577,adult,1999_2008
0.066,1362,0.16813509544787078,adult,1999_2008
0.068,1500,0.14533333333333334,adult,1999_2008
0.07,1723,0.1433546140452699,adult,1999_2008
0.072,1851,0.1469475958941113,adult,1999_2008
0.074,1997,0.14271407110665998,adult,1999_2008
0.076,2128,0.12969924812030076,adult,1999_2008
0.078,2275,0.1345054945054945,adult,1999_2008
0.08,2402,0.115736885928393,adult,1999_2008
0.082,2692,0.11924219910846955,adult,1999_2008
0.084,2634,0.12034927866362946,adult,1999_2008
0.086,2783,0.11139058569888609,adult,1999_2008
0.088,2951,0.1253812267028126,adult,1999_2008
0.09,3101,0.11931634956465656,adult,1999_2008
0.092,3134,0.11869814932992981,adult,1999_2008
0.094,3234,0.11440940012368583,adult,1999_2008
0.096,3231,0.12813370473537605,adult,1999_2008
0.098,3520,0.11960227272727272,adult,1999_2008
0.1,3476,0.12974683544303797,adult,1999_2008
0.102,3513,0.12354113293481354,adult,1999_2008
0.104,3592,0.11943207126948775,adult,1999_2008
0.106,3578,0.1159865846841811,adult,1999_2008
0.108,3773,0.1346408693347469,adult,1999_2008
0.11,3710,0.1247978436657682,adult,1999_2008
0.112,3846,0.12818512740509622,adult,1999_2008
0.114,3690,0.13116531165311654,adult,1999_2008
0.116,3758,0.12373602980308675,adult,1999_2008
0.118,3773,0.13093029419560032,adult,1999_2008
0.12,3836,0.13008342022940564,adult,1999_2008
0.122,3862,0.1338684619368203,adult,1999_2008
0.124,3964,0.13597376387487387,adult,1999_2008
0.126,3848,0.1301975051975052,adult,1999_2008
0.128,3844,0.1389177939646202,adult,1999_2008
0.13,3940,0.13223350253807106,adult,1999_2008
0.132,4006,0.13130304543185223,adult,1999_2008
0.134,4022,0.1337642963699652,adult,1999_2008
0.136,3981,0.14142175332830947,adult,1999_2008
0.138,3909,0.1468406242005628,adult,1999_2008
0.14,3890,0.1424164524421594,adult,1999_2008
0.142,3895,0.14197689345314507,adult,1999_2008
0.144,3754,0.148108684070325,adult,1999_2008
0.146,3869,0.14318945463944172,adult,1999_2008
0.148,3926,0.15384615384615385,adult,1999_2008
0.15,3727,0.1491816474376174,adult,1999_2008
0.152,3739,0.13586520460016047,adult,1999_2008
0.154,3639,0.1308051662544655,adult,1999_2008
0.156,3571,0.13861663399607954,adult,1999_2008
0.158,3662,0.1507373020207537,adult,1999_2008
0.16,3568,0.13957399103139012,adult,1999_2008
0.162,3470,0.14178674351585013,adult,1999_2008
0.164,3370,0.14124629080118695,adult,1999_2008
0.166,3295,0.15538694992412747,adult,1999_2008
0.168,3226,0.14941103533787972,adult,1999_2008
0.17,3217,0.15511345974510413,adult,1999_2008
0.172,3068,0.13885267275097785,adult,1999_2008
0.174,2841,0.1439633931714185,adult,1999_2008
0.176,2913,0.1496738757294885,adult,1999_2008
0.178,2912,0.1617445054945055,adult,1999_2008
0.18,2684,0.15312965722801788,adult,1999_2008
0.182,2730,0.15054945054945054,adult,1999_2008
0.184,2536,0.1612776025236593,adult,1999_2008
0.186,2442,0.17526617526617527,adult,1999_2008
0.188,2435,0.15195071868583163,adult,1999_2008
0.19,2312,0.16868512110726644,adult,1999_2008
0.192,2226,0.15813117699910154,adult,1999_2008
0.194,2222,0.16876687668766877,adult,1999_2008
0.196,2098,0.1644423260247855,adult,1999_2008
0.198,2040,0.15637254901960784,adult,1999_2008
0.2,931,0.16433941997851773,adult,1999_2008
0.03,464,0.10991379310344827,adult,1999_2022_full4y
0.032,483,0.10351966873706005,adult,1999_2022_full4y
0.034,489,0.07157464212678936,adult,1999_2022_full4y
0.036,535,0.12710280373831775,adult,1999_2022_full4y
0.038,585,0.12136752136752137,adult,1999_2022_full4y
0.04,606,0.1485148514851485,adult,1999_2022_full4y
0.042,721,0.11234396671289876,adult,1999_2022_full4y
0.044,772,0.12176165803108809,adult,1999_2022_full4y
0.046,840,0.1261904761904762,adult,1999_2022_full4y
0.048,964,0.11825726141078838,adult,1999_2022_full4y
0.05,1087,0.10763569457221711,adult,1999_2022_full4y
0.052,1177,0.11894647408666101,adult,1999_2022_full4y
0.054,1302,0.11981566820276497,adult,1999_2022_full4y
0.056,1501,0.1245836109260493,adult,1999_2022_full4y
0.058,1692,0.1182033096926714,adult,1999_2022_full4y
0.06,2013,0.12170889220069547,adult,1999_2022_full4y
0.062,2339,0.12355707567336469,adult,1999_2022_full4y
0.064,2532,0.11137440758293839,adult,1999_2022_full4y
0.066,2822,0.1261516654854713,adult,1999_2022_full4y
0.068,3191,0.11877154497022877,adult,1999_2022_full4y
0.07,3548,0.11020293122886134,adult,1999_2022_full4y
0.072,3854,0.12584327970939285,adult,1999_2022_full4y
0.074,4095,0.11623931623931624,adult,1999_2022_full4y
0.076,4453,0.10060633280934202,adult,1999_2022_full4y
0.078,4667,0.11206342404113992,adult,1999_2022_full4y
0.08,4925,0.09583756345177664,adult,1999_2022_full4y
0.082,5172,0.09435421500386698,adult,1999_2022_full4y
0.084,5401,0.09516756156267357,adult,1999_2022_full4y
0.086,5707,0.09391974767828982,adult,1999_2022_full4y
0.088,5732,0.09856943475226797,adult,1999_2022_full4y
0.09,6073,0.09665733574839454,adult,1999_2022_full4y
0.092,6070,0.09934102141680395,adult,1999_2022_full4y
0.094,6338,0.09419375197223098,adult,1999_2022_full4y
0.096,6299,0.10366724876964598,adult,1999_2022_full4y
0.098,6639,0.10152131345082091,adult,1999_2022_full4y
0.1,6572,0.10225197808886184,adult,1999_2022_full4y
0.102,6798,0.1009120329508679,adult,1999_2022_full4y
0.104,6734,0.10038610038610038,adult,1999_2022_full4y
0.106,6892,0.09619849100406268,adult,1999_2022_full4y
0.108,7061,0.1073502336779493,adult,1999_2022_full4y
0.11,7142,0.1008120974516942,adult,1999_2022_full4y
0.112,7285,0.10583390528483184,adult,1999_2022_full4y
0.114,7135,0.105395935529082,adult,1999_2022_full4y
0.116,7141,0.10432712505251365,adult,1999_2022_full4y
0.118,7448,0.10767991407089152,adult,1999_2022_full4y
0.12,7113,0.1081119077744974,adult,1999_2022_full4y
0.122,7509,0.1082700759089093,adult,1999_2022_full4y
0.124,7483,0.10690899371909662,adult,1999_2022_full4y
0.126,7509,0.1122652816620056,adult,1999_2022_full4y
0.128,7551,0.11203814064362336,adult,1999_2022_full4y
0.13,7487,0.11099238680379324,adult,1999_2022_full4y
0.132,7644,0.11172161172161173,adult,1999_2022_full4y
0.134,7551,0.11534896040259568,adult,1999_2022_full4y
0.136,7504,0.12153518123667377,adult,1999_2022_full4y
0.138,7461,0.11486395925479158,adult,1999_2022_full4y
0.14,7453,0.11418220850664162,adult,1999_2022_full4y
0.142,7396,0.11695511087074094,adult,1999_2022_full4y
0.144,7409,0.12012417330273992,adult,1999_2022_full4y
0.146,7372,0.1200488334237656,adult,1999_2022_full4y
0.148,7534,0.1245022564374834,adult,1999_2022_full4y
0.15,7135,0.12081289418360196,adult,1999_2022_full4y
0.152,7200,0.10958333333333334,adult,1999_2022_full4y
0.154,6929,0.11141578871410016,adult,1999_2022_full4y
0.156,6940,0.11556195965417868,adult,1999_2022_full4y
0.158,6932,0.11973456433929602,adult,1999_2022_full4y
0.16,6841,0.11942698435901183,adult,1999_2022_full4y
0.162,6746,0.11384524162466647,adult,1999_2022_full4y
0.164,6485,0.117964533538936,adult,1999_2022_full4y
0.166,6170,0.12852512155591572,adult,1999_2022_full4y
0.168,6255,0.11766586730615508,adult,1999_2022_full4y
0.17,6207,0.12582568068309974,adult,1999_2022_full4y
0.172,5860,0.11706484641638225,adult,1999_2022_full4y
0.174,5740,0.1162020905923345,adult,1999_2022_full4y
0.176,5511,0.11994193431319179,adult,1999_2022_full4y
0.178,5646,0.12539851222104145,adult,1999_2022_full4y
0.18,5175,0.13004830917874396,adult,1999_2022_full4y
0.182,5263,0.12882386471594148,adult,1999_2022_full4y
0.184,4920,0.12967479674796747,adult,1999_2022_full4y
0.186,4776,0.13860971524288107,adult,1999_2022_full4y
0.188,4664,0.12371355060034306,adult,1999_2022_full4y
0.19,4509,0.1348414282546019,adult,1999_2022_full4y
0.192,4271,0.1299461484429876,adult,1999_2022_full4y
0.194,4225,0.13775147928994083,adult,1999_2022_full4y
0.196,3999,0.13703425856464116,adult,1999_2022_full4y
0.198,3953,0.12623324057677712,adult,1999_2022_full4y
0.2,1836,0.14270152505446623,adult,1999_2022_full4y
0.03,231,0.09523809523809523,adult,2009_2022_full4y
0.032,246,0.06504065040650407,adult,2009_2022_full4y
0.034,229,0.043668122270742356,adult,2009_2022_full4y
0.036,275,0.09818181818181818,adult,2009_2022_full4y
0.038,301,0.09302325581395349,adult,2009_2022_full4y
0.04,308,0.11688311688311688,adult,2009_2022_full4y
0.042,363,0.0881542699724518,adult,2009_2022_full4y
0.044,391,0.09462915601023018,adult,2009_2022_full4y
0.046,423,0.09692671394799054,adult,2009_2022_full4y
0.048,507,0.08875739644970414,adult,2009_2022_full4y
0.05,570,0.09649122807017543,adult,2009_2022_full4y
0.052,591,0.08967851099830795,adult,2009_2022_full4y
0.054,665,0.10676691729323308,adult,2009_2022_full4y
0.056,778,0.10668380462724936,adult,2009_2022_full4y
0.058,845,0.09467455621301775,adult,2009_2022_full4y
0.06,1037,0.09836065573770492,adult,2009_2022_full4y
0.062,1201,0.10741049125728559,adult,2009_2022_full4y
0.064,1354,0.08567208271787297,adult,2009_2022_full4y
0.066,1460,0.08698630136986302,adult,2009_2022_full4y
0.068,1691,0.09520993494973388,adult,2009_2022_full4y
0.07,1825,0.0789041095890411,adult,2009_2022_full4y
0.072,2003,0.10634048926610085,adult,2009_2022_full4y
0.074,2098,0.09103908484270734,adult,2009_2022_full4y
0.076,2325,0.07397849462365591,adult,2009_2022_full4y
0.078,2392,0.0907190635451505,adult,2009_2022_full4y
0.08,2523,0.07689258818866429,adult,2009_2022_full4y
0.082,2480,0.06733870967741935,adult,2009_2022_full4y
0.084,2767,0.07119624141669678,adult,2009_2022_full4y
0.086,2924,0.07729138166894665,adult,2009_2022_full4y
0.088,2781,0.07011866235167206,adult,2009_2022_full4y
0.09,2972,0.07301480484522208,adult,2009_2022_full4y
0.092,2936,0.07867847411444141,adult,2009_2022_full4y
0.094,3104,0.07313144329896908,adult,2009_2022_full4y
0.096,3068,0.07790091264667535,adult,2009_2022_full4y
0.098,3119,0.08111574222507213,adult,2009_2022_full4y
0.1,3096,0.07138242894056848,adult,2009_2022_full4y
0.102,3285,0.07671232876712329,adult,2009_2022_full4y
0.104,3142,0.07861234882240611,adult,2009_2022_full4y
0.106,3314,0.0748340374170187,adult,2009_2022_full4y
0.108,3288,0.07603406326034064,adult,2009_2022_full4y
0.11,3432,0.07488344988344989,adult,2009_2022_full4y
0.112,3439,0.08083745274789184,adult,2009_2022_full4y
0.114,3445,0.07779390420899855,adult,2009_2022_full4y
0.116,3383,0.08276677505172923,adult,2009_2022_full4y
0.118,3675,0.0838095238095238,adult,2009_2022_full4y
0.12,3277,0.0823924321025328,adult,2009_2022_full4y
0.122,3647,0.08116259939676447,adult,2009_2022_full4y
0.124,3519,0.0741687979539642,adult,2009_2022_full4y
0.126,3661,0.09341709915323682,adult,2009_2022_full4y
0.128,3707,0.08416509306717022,adult,2009_2022_full4y
