population,cohort,threshold_bac,bandwidth_bac,n,clusters,se_type,coef,se,p_value,mean_below,mean_above
adult,1999_2008,.08,.050000001,110318,101,Cluster-robust by integer BAC score,-.0257781831255886,.0039846925,3.6686925e-09,.1356383,.12228968
adult,1999_2022_full4y,.08,.050000001,216175,101,Cluster-robust by integer BAC score,-.0207656976064549,.0034215352,2.3185043e-08,.11721453,.10476582
adult,2009_2022_full4y,.08,.050000001,105857,101,Cluster-robust by integer BAC score,-.0185184914685239,.0044458969,.000066073029,.099662162,.088992976
adult,1999_2008,.15,.050000001,170129,101,Cluster-robust by integer BAC score,-.0098318287603375,.0033020645,.0036461658,.15360664,.14857745
adult,1999_2022_full4y,.15,.050000001,326372,101,Cluster-robust by integer BAC score,-.0090254507631094,.0020807483,.000034453726,.12348014,.11825054
adult,2009_2022_full4y,.15,.050000001,156243,101,Cluster-robust by integer BAC score,-.0081804224495317,.0023519229,.00074893079,.090755358,.086378738
youth,1999_2008,.02,.050000001,9540,71,Cluster-robust by integer BAC score,-.0690464122287621,.014219692,7.0497854e-06,.16867469,.12605043
youth,1999_2022_full4y,.02,.050000001,15467,71,Cluster-robust by integer BAC score,-.0304088952180247,.010580143,.0053608865,.14473684,.11428571
youth,2009_2022_full4y,.02,.050000001,5927,71,Cluster-robust by integer BAC score,.0280415907600732,.025381275,.27302325,.11594203,.089285716
youth,1999_2008,.08,.050000001,18136,101,Cluster-robust by integer BAC score,-.0049092374832484,.010757575,.64912671,.18686868,.2393617
youth,1999_2022_full4y,.08,.050000001,29277,101,Cluster-robust by integer BAC score,-.0025827907192816,.0077969646,.74114436,.16887417,.20401338
youth,2009_2022_full4y,.08,.050000001,11141,101,Cluster-robust by integer BAC score,.0015864166130882,.011327016,.88889748,.13461539,.14414415
youth,1999_2008,.15,.050000001,14250,101,Cluster-robust by integer BAC score,-.0200439208101457,.0144602,.16878599,.2,.12244898
youth,1999_2022_full4y,.15,.050000001,23999,101,Cluster-robust by integer BAC score,-.0155023376309408,.010341056,.13699655,.17586207,.11857708
youth,2009_2022_full4y,.15,.050000001,9749,101,Cluster-robust by integer BAC score,-.0086755532121475,.010483852,.40991515,.14615385,.11320755
