year,tests,crime_1_tests,crime_3_tests,crime_3_share,draeger_share,exact_zero_share,exact_zero_share_crime_1,exact_zero_share_crime_3
1999,3537,2407,1130,0.3194797851286401,0.0,0.01272264631043257,0.013294557540506855,0.011504424778761062
2000,3449,2368,1081,0.31342418092200636,0.0,0.01188750362423891,0.013091216216216216,0.009250693802035153
2001,3420,2350,1070,0.3128654970760234,0.0,0.013157894736842105,0.011914893617021277,0.01588785046728972
2002,3878,2853,1025,0.2643115007735946,0.0,0.019855595667870037,0.018576936558009113,0.023414634146341463
2003,3862,2795,1067,0.2762817193164164,0.0,0.010616261004660798,0.012880143112701253,0.004686035613870665
2004,3721,2674,1047,0.2813759742004837,0.0,0.019349637194302608,0.02169035153328347,0.013371537726838587
2005,3455,2605,850,0.2460202604920405,0.0,0.019681620839363242,0.019577735124760076,0.02
2006,3757,2802,955,0.2541921746073995,0.0,0.012776151184455683,0.013918629550321198,0.009424083769633508
2007,3637,2724,913,0.2510310695628265,0.0,0.010173219686554854,0.012481644640234948,0.0032858707557502738
2008,3273,2489,784,0.2395355942560342,0.0,0.00916590284142988,0.009642426677380474,0.007653061224489796
2009,3279,2515,764,0.23299786520280574,0.0,0.007929246721561452,0.005168986083499006,0.017015706806282723
2010,2784,2092,692,0.24856321839080459,0.0,0.01257183908045977,0.01338432122370937,0.010115606936416185
2011,2451,1887,564,0.23011015911872704,0.0,0.008159934720522236,0.009538950715421303,0.0035460992907801418
2012,2212,1694,518,0.23417721518987342,0.0,0.010397830018083183,0.00885478158205431,0.015444015444015444
2013,1748,1337,411,0.2351258581235698,0.0,0.011441647597254004,0.011219147344801795,0.012165450121654502
2014,1567,1191,376,0.23994894703254627,0.016592214422463305,0.021059349074664963,0.020990764063811923,0.02127659574468085
2015,1428,1102,326,0.22829131652661064,0.3795518207282913,0.0273109243697479,0.03176043557168784,0.012269938650306749
2016,1233,960,273,0.22141119221411193,0.44525547445255476,0.017842660178426603,0.015625,0.02564102564102564
2017,1314,1037,277,0.21080669710806696,0.560882800608828,0.02511415525114155,0.02892960462873674,0.010830324909747292
2018,1437,1166,271,0.1885873347251218,0.9805149617258176,0.0779401530967293,0.09090909090909091,0.02214022140221402
2019,1530,1288,242,0.15816993464052287,1.0,0.12026143790849673,0.1420807453416149,0.004132231404958678
2020,1322,1131,191,0.14447806354009077,1.0,0.05597579425113464,0.0636604774535809,0.010471204188481676
2021,1110,958,152,0.13693693693693693,1.0,0.02072072072072072,0.020876826722338204,0.019736842105263157
2022,1091,962,129,0.11824014665444546,1.0,0.013748854262144821,0.015592515592515593,0.0
2023,1328,1184,144,0.10843373493975904,1.0,0.018072289156626505,0.018581081081081082,0.013888888888888888
2024,1399,1241,158,0.11293781272337383,1.0,0.016440314510364547,0.017727639000805803,0.006329113924050633
2025,1531,1353,178,0.116263879817113,1.0,0.022860875244937948,0.024390243902439025,0.011235955056179775
