year,source,crime,tests,exact_zero_share,median_low_bac
1999,datamaster,1.0,2407,0.013294557540506855,0.116
1999,datamaster,3.0,1130,0.011504424778761062,0.075
2000,datamaster,1.0,2368,0.013091216216216216,0.113
2000,datamaster,3.0,1081,0.009250693802035153,0.072
2001,datamaster,1.0,2350,0.011914893617021277,0.112
2001,datamaster,3.0,1070,0.01588785046728972,0.077
2002,datamaster,1.0,2853,0.018576936558009113,0.11
2002,datamaster,3.0,1025,0.023414634146341463,0.061
2003,datamaster,1.0,2795,0.012880143112701253,0.111
2003,datamaster,3.0,1067,0.004686035613870665,0.065
2004,datamaster,1.0,2674,0.02169035153328347,0.108
2004,datamaster,3.0,1047,0.013371537726838587,0.061
2005,datamaster,1.0,2605,0.019577735124760076,0.109
2005,datamaster,3.0,850,0.02,0.058
2006,datamaster,1.0,2802,0.013918629550321198,0.11
2006,datamaster,3.0,955,0.009424083769633508,0.061
2007,datamaster,1.0,2724,0.012481644640234948,0.112
2007,datamaster,3.0,913,0.0032858707557502738,0.061
2008,datamaster,1.0,2489,0.009642426677380474,0.112
2008,datamaster,3.0,784,0.007653061224489796,0.061
2009,datamaster,1.0,2515,0.005168986083499006,0.115
2009,datamaster,3.0,764,0.017015706806282723,0.063
2010,datamaster,1.0,2092,0.01338432122370937,0.112
2010,datamaster,3.0,692,0.010115606936416185,0.058
2011,datamaster,1.0,1887,0.009538950715421303,0.111
2011,datamaster,3.0,564,0.0035460992907801418,0.059
2012,datamaster,1.0,1694,0.00885478158205431,0.117
2012,datamaster,3.0,518,0.015444015444015444,0.0605
2013,datamaster,1.0,1337,0.011219147344801795,0.117
2013,datamaster,3.0,411,0.012165450121654502,0.058
2014,datamaster,1.0,1173,0.01619778346121057,0.114
2014,datamaster,3.0,368,0.021739130434782608,0.056
2014,draeger,1.0,18,0.3333333333333333,0.051
2014,draeger,3.0,8,0.0,0.0645
2015,datamaster,1.0,692,0.011560693641618497,0.116
2015,datamaster,3.0,194,0.005154639175257732,0.066
2015,draeger,1.0,410,0.06585365853658537,0.107
2015,draeger,3.0,132,0.022727272727272728,0.0515
2016,datamaster,1.0,555,0.014414414414414415,0.114
2016,datamaster,3.0,129,0.015503875968992248,0.054
2016,draeger,1.0,405,0.01728395061728395,0.112
2016,draeger,3.0,144,0.034722222222222224,0.062
2017,datamaster,1.0,463,0.02591792656587473,0.115
2017,datamaster,3.0,114,0.0,0.076
2017,draeger,1.0,574,0.0313588850174216,0.117
2017,draeger,3.0,163,0.018404907975460124,0.053
2018,datamaster,1.0,19,0.0,0.092
2018,datamaster,3.0,9,0.0,0.1235
2018,draeger,1.0,1147,0.09241499564080209,0.108
2018,draeger,3.0,262,0.022900763358778626,0.046
2019,draeger,1.0,1288,0.1420807453416149,0.104
2019,draeger,3.0,242,0.004132231404958678,0.059
2020,draeger,1.0,1131,0.0636604774535809,0.116
2020,draeger,3.0,191,0.010471204188481676,0.057
2021,draeger,1.0,958,0.020876826722338204,0.121
2021,draeger,3.0,152,0.019736842105263157,0.061
2022,draeger,1.0,962,0.015592515592515593,0.123
2022,draeger,3.0,129,0.0,0.0545
2023,draeger,1.0,1184,0.018581081081081082,0.124
2023,draeger,3.0,144,0.013888888888888888,0.064
2024,draeger,1.0,1241,0.017727639000805803,0.12
2024,draeger,3.0,158,0.006329113924050633,0.065
2025,draeger,1.0,1353,0.024390243902439025,0.118
2025,draeger,3.0,178,0.011235955056179775,0.062
